"lastname",frequency
"Hjalmarsson",3722
"Hjelm",3703
"Hjerpe",705
"Hjorth",727
"Hjort",1931
"Holgersson",2922
"Holmberg",13735
"Holmén",990
"Holmer",984
"Holmgren",10297
"Holmkvist",1785
"Holmlund",1700
"Holmquist",1216
"Holmqvist",5994
"Holmstedt",934
"Holmström",7095
"Holm",14090
"Holst",1865
"Hugosson",877
"Hultberg",1924
"Hultén",1007
"Hultgren",3105
"Hultin",1263
"Hultman",3008
"Hultqvist",1106
"Hult",3426
"Hurtig",1514
"Håkansson",17885
"Hård",889
"Hägglund",4144
"Häggström",2486
"Hägg",3237
"Hällgren",1128
"Hällström",761
"Häll",1396
"Högberg",5751
"Höglund",7165
"Högman",912
"Högström",1862
"Hörberg",687
"Ingemarsson",724
"Ingvarsson",1379
"Isaksson",13208
"Isberg",1211
"Israelsson",3195
"Ivarsson",7180
"Jacobsson",3766
"Jakobsson",24736
"Jansson",68469
"Jarl",1491
"Jensen",3460
"Jeppsson",3346
"Jernberg",1515
"Joelsson",1414
"Johannesson",8498
"Johannisson",806
"Johansen",711
"Johansson",376935
"Johnson",1417
"Johnsson",16280
"Jonasson",10664
"Jonsson",74931
"Josefsson",8155
"Juhlin",1687
"Julin",1061
"Jönsson",48129
"Jörgensen",1029
"Kallin",1061
"Karlberg",2904
"Karlén",1104
"Karlsson",289222
"Karlström",3806
"Kempe",798
"Kihlberg",829
"Kihlström",816
"Kjellberg",3534
"Kjellgren",1472
"Kjellin",1074
"Kjellman",873
"Kjellström",1021
"Kjell",856
"Klaesson",1087
"Klang",1838
"Klasson",6072
"Klingberg",703
"Kling",2205
"Klint",872
"Knutsson",5886
"Konradsson",814
"Kraft",1160
"Krantz",2831
"Kristensson",3380
"Kristiansson",5277
"Kristoffersson",3187
"Kron",1252
"Krook",777
"Kroon",892
"Kruse",727
"Kullberg",1357
"Kvarnström",1399
"Kvist",3233
"Käck",854
"Källberg",1303
"Källgren",857
"Källman",1410
"Källström",2346
"Käll",1200
"Kämpe",771
"Köhler",830
"Lagergren",1144
"Lagerqvist",1207
"Lagerström",1163
"Lager",1467
"Landberg",1205
"Landén",971
"Landgren",1566
"Landin",2266
"Landström",2103
"Lans",719
"Lantz",2722
"Larsen",1483
"Larsson",163536
"Leandersson",856
"Leander",986
"Ledin",725
"Leijon",823
"Lejon",866
"Lennartsson",2298
"Levin",3365
"Lidberg",1237
"Lidén",2316
"Lidman",1128
"Lidström",1983
"Lif",836
"Lilja",4757
"Liljedahl",1377
