name,persons
Abderrahmen,2
Abderrazak,4
Abdesslam,2
Abdi,2523
Abdia,4
Abdiali,3
Abdiasiis,5
Abdiasis,34
Abdiaziiz,8
Abdiaziz,137
Abdi-Aziz,3
Abdibile,2
Abdicasis,2
Abdidahir,9
Abdideq,2
Abdifataah,3
Abdifatah,165
Abdi-Fatah,3
Abdifatha,3
Abdifattah,6
Abdifetaah,3
Abdifitah,32
Abdifitax,2
Abdigaber,3
Abdigadar,6
Abdigadir,3
Abdigafaar,3
Abdigani,13
Abdighani,2
Abdihafid,8
Abdihahim,2
Abdihakem,2
Abdihakiim,5
Abdihakiin,2
Abdihakim,69
Abdihakin,25
Abdihaliim,2
Abdihalim,4
Abdihamid,6
Abdiihakim,2
Abdijabaar,2
Abdijabar,6
Abdijalil,7
Abdijibar,2
Abdikaafi,4
Abdikadar,5
Abdikadir,154
Abdikafi,11
Abdikahader,2
Abdikamil,3
Abdikani,24
Abdikariim,2
Abdikariin,2
Abdikarim,216
Abdikarin,31
Abdikassim,2
Abdikhadar,8
Abdikhader,2
Abdikhadir,5
Abdikhafar,3
Abdikhani,2
Abdikhayr,4
Abdil,4
Abdilaahi,16
Abdiladif,9
Abdilah,3
Abdilahi,59
Abdilaziz,2
Abdile,4
Abdilkadir,4
Abdilkarim,4
Abdillaahi,2
Abdillah,5
Abdillahi,85
Abdille,9
Abdilrahman,3
Abdimahad,2
Abdimajid,3
Abdimalik,10
Abdimuneim,2
Abdin,5
Abdinaasir,10
Abdinafa,2
Abdi-Najah,2
Abdinaser,8
Abdinasir,135
Abdi-Nasir,3
Abdinasser,10
Abdinazir,2
Abdinoor,17
Abdinor,6
Abdinour,3
Abdinur,54
Abdi-Nur,3
Abdinuur,21
Abdio,4
Abdiolow,3
Abdiqaadir,10
Abdiqadar,4
Abdiqadir,59
Abdiqafaar,5
Abdiqafar,8
Abdiqani,43
Abdirahaman,5
Abdirahiim,2
Abdirahim,67
Abdirahin,12
Abdirahmaan,17
Abdirahman,916
Abdirahoy,4
Abdiraman,4
Abdirasak,9
Abdirasaq,8
Abdirascid,2
Abdirashid,231
Abdirashiid,9
Abdirazak,24
Abdirazaq,8
Abdirehman,2
Abdiresaq,3
Abdireshid,2
Abdirihin,2
Abdirihman,3
Abdirisaak,6
Abdirisaaq,20
Abdirisack,5
Abdirisak,100
Abdirisakh,5
Abdirisaq,83
Abdirishid,6
Abdirizaak,7
Abdirizaaq,2
Abdirizack,2
Abdirizak,139
Abdirizaq,10
Abdirsaak,2
Abdirsaaq,3
Abdisabir,3
Abdisaid,2
Abdisalaam,13
Abdisalaan,17
Abdisalam,76
Abdisalan,56
Abdisamad,29
Abdisamed,18
Abdisataar,2
Abdisemed,5
Abdish,2
Abdishakoor,2
Abdishakour,9
Abdishakur,51
Abdi-Shakur,2
Abdishakuur,8
Abdishokor,3
Abdishukri,4
Abdissa,6
Abditajir,5
Abdiwahab,53
Abdi-Wahab,2
Abdiwahid,18
Abdiwajid,2
Abdiwali,76
Abdiwasea,2
Abdiweli,30
Abdi-Weli,4
Abdiwoli,3
Abdiyare,9
Abdiyo,8
Abdl,4
Abdla,2
Abdlah,2
Abdlmonem,2
Abdlwahed,2
Abdmariam,9
Abdmaryam,2
Abdnur,2
Abdo,122
Abdol,4
Abdolkader,2
