name,persons
Adinda,3
Adine,35
Adineh,4
Adiola,2
Adira,2
Adis,5
Adisa,212
Adise,2
Adisia,2
Adita,5
Adithi,4
Aditi,51
Aditri,4
Aditya,3
Adiva,5
Adivije,2
Adiya,8
Adiyam,5
Adja,11
Adjani,2
Adji,6
Adjia,2
Adjoa,2
Adjoua,5
Adjovi,2
Adla,43
Adlan,3
Adle,4
Adlen,2
Adli,2
Adlije,5
Adlin,4
Adlina,3
Adljije,2
Adma,7
Admas,2
Admela,2
Admira,89
Admiranda,2
Adn,2
Adna,328
Adnana,23
Adnela,7
Adni,14
Adnin,2
Adno,18
Adol,2
Adolfina,2
Adolfine,2
Adolphine,3
Adona,2
Adonay,2
Adonia,7
Adora,60
Adorable,2
Adoracion,3
Adori,2
Adoria,2
Adra,8
Adraa,7
Adreana,4
Adreane,2
Adri,3
Adria,10
Adrian,30
Adriana,1125
Adriána,2
Adriana-Cristina,2
Adriana-Gabriela,2
Adriana-Maria,4
Adriane,9
Adrianna,102
Adrianne,11
Adriel,6
Adriella,2
Adrielle,6
Adrien,5
Adriene,2
Adrienn,61
Adrienne,163
Adrija,14
Adrijana,80
Adrin,2
Adrina,54
Adrine,5
Adrineh,4
Adrita,9
Adriyana,4
Adulis,2
Adunia,3
Adwaa,3
Advaita,2
Advie,2
Advija,27
Advije,18
Advika,10
Advita,3
Adviye,2
Adwoa,3
Ady,4
Adya,3
Adyam,22
Adyan,7
Adyasha,4
Adzije,2
Ae,8
Aea,9
Aecha,2
Aeda,16
Aedah,21
Aedeh,2
Aeida,2
Aeisha,3
Ae-Ja,2
Aekaterini,2
Aela,16
Aelaf,2
Aelana,2
Aelia,5
Aelita,5
Aella,2
Aeman,6
Aemon,3
Aena,2
Aenas,4
Aenda,3
Aeo,3
Aerin,2
Aeris,2
Aesa,3
Aesha,35
Aeshah,14
Aeshe,2
Aet,6
Aew,2
Aeva,2
Aeya,3
Aeysha,4
Afaaf,5
Afaf,213
Afag,4
Afagh,13
Afak,3
Afamia,6
Afan,3
Afaq,5
Afarin,4
Afat,3
Afdal,3
Afef,7
Afeni,2
Afera,2
Aferdita,206
Afërdita,12
Aferdite,5
Aferet,2
Afet,6
Afeta,2
Afete,4
Affaf,4
Affentra,2
Affi,5
Affie,2
Affnan,2
Affoue,3
Afghan,3
Afghani,2
Afi,5
Afia,28
Afiaa,2
Afiet,3
Afifa,56
Afife,7
Afifeh,3
Afifi,2
Afifo,2
Afije,7
Afijet,3
Afin,3
Afina,5
Afiya,4
Afiza,3
Afize,2
Afkar,3
Afkera,2
Aflin,2
Afnaan,29
Afnan,160
Afnane,2
Afomia,12
Afomiya,3
Afomya,5
Afra,34
Afraa,49
Afraah,4
Afrah,208
Afrata,3
Afrdita,7
Afreen,7
Africa,3
Afrida,2
Afrika,2
Afrin,14
Afrina,4
Afrodita,28
Afrodite,37
Afroditi,34
Afroja,4
Afrooz,13
Afrora,5
Afrore,4
Afrouz,13
Afroviti,2
Afroz,6
Afroza,27
Afruz,2
Afruza,2
Afsa,4
Afsana,39
Afsanah,5
Afsane,16
Afsaneh,198
Afsar,22
Afshan,27
Afshana,4
Afsheen,12
Afshid,2
Afson,2
Afsoon,15
Afsoun,2
Afsun,3
Aftab,10
Aftaw,4
Afton,2
Aftonia,6
Aftounia,3
Afua,3
Afyan,2
Afza,2
Afzal,2
Aga,3
Agape,2
Agapi,24
Agar,3
Agartha,3
Agata,451
Agate,3
Agatha,45
Agathe,29
Agathi,9
Agavni,3
Agazit,2
Agbor,2
Agda,185
Age,6
Ageliki,6
Agga,2
Agge,5
Aggeliki,11
Aggi,5
Aggie,13
Aghadeer,4
Agharid,2
Aghavni,4
Aghdas,41
Aghela,2
Aghele,2
Agheleh,3
Aghigh,2
Agi,12
Agia,2
Agija,4
Agila,3
Agime,8
Agita,9
Agla,2
Aglaia,18
Aglaja,2
Aglaya,5
Agna,5
Agne,84
Agné,20
Agnè,3
Agnela,2
Agnelia,5
Ágnes,37
Àgnes,2
Agnes,15165
Agnés,4
Agnès,27
Agnes Cecilia,8
Agnes Elise,2
Agnesa,159
Agnes-Cecilia,22
Agnese,56
Agnes-Felicia,3
Agnes-Lo,2
Agnes-Maria,5
Agness,4
Agnessa,4
Agnéta,4
Agneta,17318
Agneté,2
Agnete,79
Agneth,2
Agnetha,654
Agnethe,17
Agnez,40
Agneza,2
Agni,14
Agnieszka,1408
Agniete,2
Agnija,7
Agnije,2
Agnis,3
Agnita,5
Agnoula,2
Agny,3
Agoneta,2
Agonita,2
Agoritsa,4
Agostina,8
Agota,17
Ágota,7
Agrima,2
Agrin,9
Agrippina,2
Agrita,6
Agueda,8
Agurtzane,2
Agusta,6
Ágústa,4
Agustina,32
Ah,10
Ahaana,3
Ahad,9
Ahado,4
Ahalam,5
Ahalya,2
Ahana,13
Ahang,15
Ahd,14
Ahdab,3
Ahdieh,4
Ahed,52
Aheda,2
Ahella,2
Ahen,2
Aheng,3
Ahgnes,2
Ahid,3
Ahida,2
Ahin,39
Ahink,2
Ahla,3
Ahlaam,58
Ahlaan,4
Ahlam,613
Ahlame,4
Ahlan,15
Ahlem,29
Ahlina,4
Ahmad,4
Ahmed,12
Ahmedina,4
Ahmija,2
Ahn,2
Ahna,3
Ahnn,2
Ahnna,11
Aho,6
Ahod,5
Ahona,4
Ahoo,3
Ahood,3
Ahou,3
Ahri,2
Ahsan,3
