id,country,country_alternativename,resident_singular,resident_plural,adjective
179,Turkmenistan,,"['turkmenistanier', 'turkmen']","['turkmenistanier', 'turkmener']","turkmenistansk, turkmenisk"
180,Tuvalu,,['tuvaluan'],['tuvaluaner'],tuvaluansk
181,Tyskland,,['tysk'],['tyskar'],tysk
182,Uganda,,['ugandier'],['ugandier'],ugandisk
183,Ukraina,,['ukrainare'],['ukrainare'],ukrainsk
184,Ungern,,['ungrare'],['ungrare'],ungersk
185,Uruguay,,['uruguayan'],['uruguayaner'],uruguayansk
186,USA,Förenta staterna,['amerikan'],['amerikaner'],amerikansk
187,Uzbekistan,,"['uzbekistanier', 'uzbek']","['uzbekistanier', 'uzbeker']","uzbekistansk, uzbekisk"
188,Vanuatu,,['vanuatuer'],['vanuatuer'],vanuatisk
189,Vatikanstaten,,['vatikanare'],['vatikanare'],vatikansk
190,Venezuela,,['venezuelan'],['venezuelaner'],venezuelansk
191,Vietnam,,['vietnames'],['vietnameser'],vietnamesisk
192,Vitryssland,,['vitryss'],['vitryssar'],vitrysk
193,Zambia,,['zambier'],['zambier'],zambisk
194,Zimbabwe,,['zimbabwier'],['zimbabwier'],zimbabwisk
195,Österrike,,['österrikare'],['österrikare'],österrikisk
196,Östtimor,,['östtimorian'],['östtimorianer'],östtimoriansk 
