code,name,region,population,area,land,sea,ocean,density,bounds_ne_lat_google_2015_05_28,bounds_ne_lng_google_2015_05_28,bounds_sw_lat_google_2015_05_28,bounds_sw_lng_google_2015_05_28,location_lat_google_2015_05_28,location_lng_google_2015_05_28
2303,Ragunda kommun,Jämtlands län,5415,2633.10,2510.96,122.14,0.00,2.16,63.514635,16.9977869,62.9164701,15.2181678,63.1246168,16.3665889
2305,Bräcke kommun,Jämtlands län,6492,3783.41,3408.09,375.32,0.00,1.90,63.3883316,14.0160074,63.3783336,13.9839926,63.383333,14
2309,Krokoms kommun,Jämtlands län,14843,6812.61,6154.45,658.16,0.00,2.41,63.2289599,14.773303,63.132397,14.5108614,63.1766832,14.6360681
2313,Strömsunds kommun,Jämtlands län,11809,11780.83,10464.65,1316.18,0.00,1.13,63.867565,15.5832661,63.839677,15.5424191,63.8536621,15.5568691
2321,Åre kommun,Jämtlands län,11088,8236.46,7194.95,1041.51,0.00,1.54,63.4074583,13.1106945,63.386836,13.047816,63.3990428,13.0815059
2326,Bergs kommun,Jämtlands län,7081,6145.46,5710.18,435.28,0.00,1.24,63.081067,14.878175,62.289538,12.070339,62.7724812,14.1698666
2361,Härjedalens kommun,Jämtlands län,10200,11859.63,11283.83,575.80,0.00,0.90,62.642023,14.373635,61.7599261,12.0744849,62.2944578,13.1942936
2380,Östersunds kommun,Jämtlands län,61745,2501.09,2208.29,292.80,0.00,27.96,63.2289599,14.773303,63.132397,14.5108614,63.1766832,14.6360681
2401,Nordmalings kommun,Västerbottens län,7132,2472.47,1229.59,40.21,1202.46,5.80,63.580474,19.5355647,63.56019,19.4710248,63.566667,19.5
2403,Bjurholms kommun,Västerbottens län,2454,1363.76,1306.77,56.99,0.00,1.88,63.938525,19.24159,63.919804,19.1977812,63.9304056,19.2192125
2404,Vindelns kommun,Västerbottens län,5413,2846.87,2630.05,216.82,0.00,2.06,64.20325308,19.72018758,64.20055512,19.71748962,64.2019041,19.7188386
2409,Robertsfors kommun,Västerbottens län,6784,2369.78,1292.32,21.06,1056.28,5.25,66.340329,21.6169479,63.4054636,14.2568099,65.3337311,16.5161695
2417,Norsjö kommun,Västerbottens län,4125,1923.58,1739.15,184.43,0.00,2.37,64.9246391,19.5192788,64.902527,19.4544337,64.9135093,19.4826413
2418,Malå kommun,Västerbottens län,3100,1727.48,1598.21,129.27,0.00,1.94,65.1990739,18.7692682,65.1706689,18.7045171,65.18512,18.74907
2421,Storumans kommun,Västerbottens län,5899,8234.13,7299.64,934.49,0.00,0.81,66.150592,16.716909,65.334505,14.4952551,65.5629922,15.2948303
2422,Sorsele kommun,Västerbottens län,2535,7957.69,7367.04,590.65,0.00,0.34,65.540059,17.5432955,65.5308172,17.5112807,65.5354385,17.5272881
2425,Dorotea kommun,Västerbottens län,2719,2939.91,2764.53,175.38,0.00,0.98,64.272768,16.441826,64.2527589,16.381826,64.2617939,16.4152338
2460,Vännäs kommun,Västerbottens län,8695,553.70,529.49,24.21,0.00,16.42,63.90681208,19.75279948,63.90411412,19.75010152,63.9054631,19.7514505
2462,Vilhelmina kommun,Västerbottens län,6805,8740.52,8048.43,692.09,0.00,0.85,64.2134402,17.3712367,64.1678932,17.3131354,64.1909375,17.3430378
2463,Åsele kommun,Västerbottens län,2875,4543.71,4223.52,320.19,0.00,0.68,64.1672645,17.3699063,64.1575387,17.3378915,64.162402,17.3538989
2480,Umeå kommun,Västerbottens län,122892,5215.03,2317.12,80.49,2815.78,53.04,63.875971,20.365735,63.777877,20.118188,63.8258471,20.2630354
2481,Lycksele kommun,Västerbottens län,12187,5888.93,5518.18,370.75,0.00,2.21,64.1686722,17.3886543,64.1661122,17.37378,64.168142,17.3806303
2482,Skellefteå kommun,Västerbottens län,72266,9956.90,6800.56,373.73,2782.92,10.63,64.74757608,20.95866708,64.74487812,20.95596912,64.7462271,20.9573181
2505,Arvidsjaurs kommun,Norrbottens län,6442,6126.30,5655.59,470.71,0.00,1.14,65.3184807,21.4001671,65.3126918,21.317374,65.3165601,21.3567714
2506,Arjeplogs kommun,Norrbottens län,2876,14494.16,12557.59,1936.57,0.00,0.23,66.0557289,17.9137616,66.03603,17.8361258,66.0515051,17.8900543
2510,Jokkmokks kommun,Norrbottens län,5105,19334.40,17600.76,1733.64,0.00,0.29,66.6128031,19.904502,66.5887509,19.7951527,66.6069609,19.8229206
2513,Överkalix kommun,Norrbottens län,3378,2919.47,2764.52,154.95,0.00,1.22,69.063072,24.1624078,65.060635,15.3723748,66.8309216,20.3991966
2514,Kalix kommun,Norrbottens län,16223,3710.85,1803.08,100.68,1808.30,9.00,65.85696488,23.14614788,65.85426692,23.14344992,65.8556159,23.1447989
2518,Övertorneå kommun,Norrbottens län,4534,2492.52,2362.30,130.22,0.00,1.92,66.9843479,24.0008159,66.0592751,23.0061231,66.5158379,23.5729618
2521,Pajala kommun,Norrbottens län,6116,8050.71,7840.30,210.41,0.00,0.78,69.063072,24.1624078,65.060635,15.3723748,66.8309216,20.3991966
2523,Gällivare kommun,Norrbottens län,17956,16818.24,15690.78,1127.46,0.00,1.14,68.1217059,22.5038398,66.727598,16.114486,67.5021116,19.0487443
2560,Älvsbyns kommun,Norrbottens län,8193,1795.24,1699.24,96.00,0.00,4.82,65.690748,21.0586047,65.65638,20.9665278,65.6771363,20.9928659
2580,Luleå kommun,Norrbottens län,76770,4962.19,2094.08,148.39,2711.28,36.66,65.629758,22.3051211,65.5444445,22.057593,65.584819,22.1567026
2581,Piteå kommun,Norrbottens län,41904,4678.23,3086.04,149.04,1445.45,13.58,65.3475283,21.5589681,65.261912,21.3986559,65.316698,21.4800364
2582,Bodens kommun,Norrbottens län,28042,4285.10,4007.89,277.21,0.00,7.00,65.8555831,21.781993,65.7888981,21.5470054,65.8251188,21.6887028
2583,Haparanda kommun,Norrbottens län,9864,1866.62,921.27,38.58,908.42,10.71,65.6408692,22.138269,65.6016965,22.1167018,65.621281,22.1271203
2584,Kiruna kommun,Norrbottens län,23167,20551.45,19155.37,1396.08,0.00,1.21,67.8841239,20.368803,67.8232801,20.1440569,67.8557995,20.2252821
