country,currency,code
Tuvalu,Australisk dollar,AUD
Tyskland,Euro,EUR
Uganda,Shilling,UGX
Ukraina,Hryvnia,UAH
Ungern,Forint,HUF
Uruguay,Peso,UYU
USA,Amerikansk dollar,USD
Uzbekistan,Sum,UZS
Vanuatu,Vatu,UVU
Venezuela,Bolivar,VEB
Vietnam,Dong,VND
Vitryssland,Rubel,BYN
Wallis- och Futunaöarna,Franc,XPF
Zambia,Kwacha,ZMK
Zimbabwe,Amerikansk dollar,USD
Österrike,Euro,EUR
Östtimor,Amerikansk dollar,USD
